,ot_alliri,ot_classiri,ot_proertyiri
66,http://energy.linkeddata.es/em-kpi/ontology#WindDirection,http://energy.linkeddata.es/em-kpi/ontology#WindDirection,http://energy.linkeddata.es/em-kpi/ontology#isInputOf
67,http://energy.linkeddata.es/em-kpi/ontology#WindGeneratingUnit,http://energy.linkeddata.es/em-kpi/ontology#WindGeneratingUnit,http://energy.linkeddata.es/em-kpi/ontology#isMathematicalModelOf
68,http://energy.linkeddata.es/em-kpi/ontology#WindPowerSystem,http://energy.linkeddata.es/em-kpi/ontology#WindPowerSystem,http://energy.linkeddata.es/em-kpi/ontology#isObservationResultOf
69,http://energy.linkeddata.es/em-kpi/ontology#WindSpeed,http://energy.linkeddata.es/em-kpi/ontology#WindSpeed,http://energy.linkeddata.es/em-kpi/ontology#isObservationSamplingTimeOf
70,http://energy.linkeddata.es/em-kpi/ontology#WorkstationLighting,http://energy.linkeddata.es/em-kpi/ontology#WorkstationLighting,http://energy.linkeddata.es/em-kpi/ontology#isObservedPropertyOf
71,http://identifiers.org/mamo/Dependent_variable,http://identifiers.org/mamo/Dependent_variable,http://energy.linkeddata.es/em-kpi/ontology#isOccupancyParameterOf
72,http://identifiers.org/mamo/Independent_variable,http://identifiers.org/mamo/Independent_variable,http://energy.linkeddata.es/em-kpi/ontology#isOccupantOf
73,http://identifiers.org/mamo/Mathematical_model,http://identifiers.org/mamo/Mathematical_model,http://energy.linkeddata.es/em-kpi/ontology#isOutputOf
74,http://identifiers.org/mamo/Variable,http://identifiers.org/mamo/Variable,http://energy.linkeddata.es/em-kpi/ontology#isPerformanceGoalOf
75,http://purl.oclc.org/NET/ssnx/ssn#FeatureOfInterest,http://purl.oclc.org/NET/ssnx/ssn#FeatureOfInterest,http://energy.linkeddata.es/em-kpi/ontology#isPhotovoltaicTypeOf
76,http://purl.oclc.org/NET/ssnx/ssn#Observation,http://purl.oclc.org/NET/ssnx/ssn#Observation,http://energy.linkeddata.es/em-kpi/ontology#isProvidedBy
77,http://purl.oclc.org/NET/ssnx/ssn#ObservationValue,http://purl.oclc.org/NET/ssnx/ssn#ObservationValue,http://energy.linkeddata.es/em-kpi/ontology#isRoofOf
78,http://purl.oclc.org/NET/ssnx/ssn#Property,http://purl.oclc.org/NET/ssnx/ssn#Property,http://energy.linkeddata.es/em-kpi/ontology#isScheduleOf
79,http://purl.org/dc/terms/Location,http://purl.org/dc/terms/Location,http://energy.linkeddata.es/em-kpi/ontology#isSpeedOf
80,http://purl.org/ontology/olo/core#OrderedList,http://purl.org/ontology/olo/core#OrderedList,http://energy.linkeddata.es/em-kpi/ontology#isSuppliedBy
81,http://purl.org/ontology/olo/core#Slot,http://purl.org/ontology/olo/core#Slot,http://energy.linkeddata.es/em-kpi/ontology#isU-valueOf
82,http://schema.org/Event,http://schema.org/Event,http://energy.linkeddata.es/em-kpi/ontology#isUnitOf
83,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#PhysicalObject,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#PhysicalObject,http://energy.linkeddata.es/em-kpi/ontology#isVariableOf
84,http://www.owl-ontologies.com/EPC4EU#Certificate,http://www.owl-ontologies.com/EPC4EU#Certificate,http://energy.linkeddata.es/em-kpi/ontology#providesTo
85,http://www.owl-ontologies.com/EPC4EU#Certifier,http://www.owl-ontologies.com/EPC4EU#Certifier,http://energy.linkeddata.es/em-kpi/ontology#storesEnergy
86,http://www.owl-ontologies.com/EPC4EU#EPCforEU,http://www.owl-ontologies.com/EPC4EU#EPCforEU,http://energy.linkeddata.es/em-kpi/ontology#storesEnergyType
87,http://www.owl-ontologies.com/EPC4EU#EnergyConversionSystem,http://www.owl-ontologies.com/EPC4EU#EnergyConversionSystem,http://energy.linkeddata.es/em-kpi/ontology#suppliesTo
88,http://www.owl-ontologies.com/EPC4EU#EnergySystem,http://www.owl-ontologies.com/EPC4EU#EnergySystem,http://purl.oclc.org/NET/ssnx/ssn#featureOfInterest
89,http://www.owl-ontologies.com/questionnaire#Questionnaire,http://www.owl-ontologies.com/questionnaire#Questionnaire,http://purl.oclc.org/NET/ssnx/ssn#hasInput
90,http://www.owl-ontologies.com/questionnaire#Questions,http://www.owl-ontologies.com/questionnaire#Questions,http://purl.oclc.org/NET/ssnx/ssn#hasOutput
