DATE,TIMESTAMP,LOCATION,ENERGY_SOURCE,MEASURE,UNIT_OF_MEASURE,INTERVAL,VALUE
18.09.2021,18.09.2021 16:11,Atlantis waterpark,HVAC KN8,Supply temp,C,S,2131
12.09.2021,12.09.2021 07:40,Atlantis waterpark,HVAC KN3,freq converter,%,S,80
20.08.2021,20.08.2021 20:54,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2443
30.08.2021,30.08.2021 04:31,Atlantis waterpark,HVAC KN5,Extract temp,C,S,2552
13.09.2021,13.09.2021 15:40,Atlantis waterpark,HVAC KN8,Supply temp,C,S,2629
17.08.2021,17.08.2021 20:54,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2067
21.08.2021,21.08.2021 10:10,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2657
11.09.2021,11.09.2021 13:10,Atlantis waterpark,HVAC KN8,Extract vent,N,S,
20.09.2021,20.09.2021 07:41,Atlantis waterpark,HVAC KN9,Supply vent,N,S,
1.09.2021 ,1.09.2021 00:23,Atlantis waterpark,HVAC KN5,Supply temp,C,S,191
12.09.2021,12.09.2021 10:40,Atlantis waterpark,HVAC KN3,Extract temp,C,S,2475
30.08.2021,30.08.2021 19:25,Atlantis waterpark,HVAC KN5,Supply temp,C,S,2092
17.08.2021,17.08.2021 13:50,Atlantis waterpark,HVAC KN3,Extract temp,C,S,2506
25.08.2021,25.08.2021 16:28,Atlantis waterpark,HVAC KN6,Extract temp,C,S,2623
12.09.2021,12.09.2021 12:40,Atlantis waterpark,HVAC KN2,freq converter,%,S,80
19.08.2021,19.08.2021 10:31,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2121
5.09.2021 ,5.09.2021 18:23,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2729
14.09.2021,14.09.2021 10:10,Atlantis waterpark,HVAC KN2,freq converter,%,S,80
13.08.2021,13.08.2021 01:53,Atlantis waterpark,HVAC KN4,Extract temp,C,S,2715
27.08.2021,27.08.2021 12:00,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2007
22.08.2021,22.08.2021 20:39,Atlantis waterpark,HVAC KN5,Supply temp,C,S,2686
10.09.2021,10.09.2021 21:40,Atlantis waterpark,HVAC KN5,load extract ventilator,%,S,80
19.08.2021,19.08.2021 06:28,Atlantis waterpark,HVAC KN5,Extract temp,C,S,2595
8.09.2021 ,8.09.2021 10:25,Atlantis waterpark,HVAC KN2,Extract temp,C,S,254
20.09.2021,20.09.2021 06:11,Atlantis waterpark,HVAC KN4,Extract temp,C,S,25
26.08.2021,26.08.2021 14:29,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2706
16.08.2021,16.08.2021 12:44,Atlantis waterpark,HVAC KN5,Supply temp,C,S,2886
17.08.2021,17.08.2021 01:59,Atlantis waterpark,HVAC KN4,Supply temp,C,S,2115
18.08.2021,18.08.2021 11:59,Atlantis waterpark,HVAC KN5,Supply temp,C,S,2304
21.08.2021,21.08.2021 11:54,Atlantis waterpark,HVAC KN5,Supply temp,C,S,2472
18.08.2021,18.08.2021 11:22,Atlantis waterpark,HVAC KN3,Supply temp,C,S,2195
17.09.2021,17.09.2021 19:41,Atlantis waterpark,HVAC KN9,Extract vent,N,S,
12.09.2021,12.09.2021 10:40,Atlantis waterpark,HVAC KN9,Supply temp,C,S,2059
26.08.2021,26.08.2021 15:51,Atlantis waterpark,HVAC KN5,Supply temp,C,S,2386
14.09.2021,14.09.2021 00:10,Atlantis waterpark,HVAC KN9,load supply ventilator,%,S,60
13.09.2021,13.09.2021 15:40,Atlantis waterpark,HVAC KN8,Supply vent,N,S,
19.08.2021,19.08.2021 03:52,Atlantis waterpark,HVAC KN3,Supply temp,C,S,149
14.08.2021,14.08.2021 14:55,Atlantis waterpark,HVAC KN3,Extract temp,C,S,2637
20.09.2021,20.09.2021 12:11,Atlantis waterpark,HVAC KN5,load supply ventilator,%,S,80
26.08.2021,26.08.2021 07:34,Atlantis waterpark,HVAC KN5,Supply temp,C,S,1516
9.08.2021 ,9.08.2021 14:13,Atlantis waterpark,HVAC KN2,Supply temp,C,S,266
14.09.2021,14.09.2021 11:40,Atlantis waterpark,HVAC KN3,Extract temp,C,S,2495
27.08.2021,27.08.2021 14:58,Atlantis waterpark,HVAC KN4,Supply temp,C,S,2321
15.09.2021,15.09.2021 05:40,Atlantis waterpark,HVAC KN3,freq converter,%,S,80
10.08.2021,10.08.2021 11:09,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2552
13.09.2021,13.09.2021 06:40,Atlantis waterpark,HVAC KN4,Extract temp,C,S,2503
4.09.2021 ,4.09.2021 05:17,Atlantis waterpark,HVAC KN3,Extract temp,C,S,2461
11.09.2021,11.09.2021 19:40,Atlantis waterpark,HVAC KN9,Supply temp,C,S,2406
12.09.2021,12.09.2021 01:40,Atlantis waterpark,HVAC KN5,load supply ventilator,%,S,80
12.08.2021,12.08.2021 22:47,Atlantis waterpark,HVAC KN5,Supply temp,C,S,2603
12.09.2021,12.09.2021 20:10,Atlantis waterpark,HVAC KN3,freq converter,%,S,80
30.08.2021,30.08.2021 05:45,Atlantis waterpark,HVAC KN6,Extract temp,C,S,2486
11.08.2021,11.08.2021 10:41,Atlantis waterpark,HVAC KN5,Supply temp,C,S,254
7.09.2021 ,7.09.2021 21:54,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2555
9.08.2021 ,9.08.2021 18:59,Atlantis waterpark,HVAC KN3,Supply temp,C,S,276
11.09.2021,11.09.2021 21:10,Atlantis waterpark,HVAC KN8,Extract temp,C,S,2851
1.09.2021 ,1.09.2021 11:11,Atlantis waterpark,HVAC KN2,Supply temp,C,S,1704
21.09.2021,21.09.2021 07:41,Atlantis waterpark,HVAC KN9,load supply ventilator,%,S,60
15.08.2021,15.08.2021 17:23,Atlantis waterpark,HVAC KN2,Extract temp,C,S,3251
9.08.2021 ,9.08.2021 15:26,Atlantis waterpark,HVAC KN3,Supply temp,C,S,2749
13.08.2021,13.08.2021 03:42,Atlantis waterpark,HVAC KN2,Supply temp,C,S,2224
30.08.2021,30.08.2021 05:56,Atlantis waterpark,HVAC KN5,Supply temp,C,S,1441
10.08.2021,10.08.2021 17:28,Atlantis waterpark,HVAC KN3,Supply temp,C,S,3054
18.08.2021,18.08.2021 17:29,Atlantis waterpark,HVAC KN4,Supply temp,C,S,2646
30.08.2021,30.08.2021 10:50,Atlantis waterpark,HVAC KN2,Supply temp,C,S,1553
23.08.2021,23.08.2021 17:12,Atlantis waterpark,HVAC KN2,Supply temp,C,S,1815
16.09.2021,16.09.2021 09:41,Atlantis waterpark,HVAC KN9,load supply ventilator,%,S,100
13.08.2021,13.08.2021 03:18,Atlantis waterpark,HVAC KN3,Supply temp,C,S,2195
10.09.2021,10.09.2021 07:10,Atlantis waterpark,HVAC KN5,load extract ventilator,%,S,80
9.09.2021 ,9.09.2021 13:40,Atlantis waterpark,HVAC KN8,load supply ventilator,%,S,100
28.08.2021,28.08.2021 01:16,Atlantis waterpark,HVAC KN2,Supply temp,C,S,1567
25.08.2021,25.08.2021 13:53,Atlantis waterpark,HVAC KN5,Supply temp,C,S,2335
18.08.2021,18.08.2021 00:44,Atlantis waterpark,HVAC KN6,Supply temp,C,S,187
15.08.2021,15.08.2021 08:00,Atlantis waterpark,HVAC KN6,Supply temp,C,S,2204
18.08.2021,18.08.2021 14:23,Atlantis waterpark,HVAC KN4,Supply temp,C,S,2589
16.08.2021,16.08.2021 15:50,Atlantis waterpark,HVAC KN4,Supply temp,C,S,3194
10.09.2021,10.09.2021 11:40,Atlantis waterpark,HVAC KN8,Extract vent,N,S,
24.08.2021,24.08.2021 00:04,Atlantis waterpark,HVAC KN2,Extract temp,C,S,2675
